R(MOHM),uA,V
1,5.4699999999999998,5
2,2.96,
3,2.1499999999999999,
4,1.72,
5,1.46,
6,1.29,
7,1.1799999999999999,
8,1.0900000000000001,
9,1.02,
10,0.95999999999999996
